epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,146.672,0.72638,0.55231,1.13618,0.84293,0.4716,0.53693,0.28823,1.70533,1.92396,1.43437,2.35472e-05,2.35472e-05,2.35472e-05
76,148.801,0.63476,0.72967,1.12726,0.84293,0.4716,0.53693,0.28823,1.70533,1.92396,1.43437,2.29819e-05,2.29819e-05,2.29819e-05
77,150.936,0.67739,0.65466,1.11191,0.84293,0.4716,0.53693,0.28823,1.70533,1.92396,1.43437,2.23929e-05,2.23929e-05,2.23929e-05
78,153.106,0.87489,1.00066,1.18703,0.83957,0.46082,0.5438,0.27831,1.68622,1.95113,1.43196,2.17805e-05,2.17805e-05,2.17805e-05
79,155.363,0.60901,0.81815,1.10639,0.83957,0.46082,0.5438,0.27831,1.68622,1.95113,1.43196,2.11444e-05,2.11444e-05,2.11444e-05
80,157.418,0.68626,0.73586,1.15044,0.83957,0.46082,0.5438,0.27831,1.68622,1.95113,1.43196,2.04848e-05,2.04848e-05,2.04848e-05
81,159.412,0.51708,0.50407,0.97359,0.84133,0.45095,0.53393,0.25898,1.73793,2.00055,1.45701,1.98016e-05,1.98016e-05,1.98016e-05
82,161.382,0.81235,0.68235,1.14429,0.84133,0.45095,0.53393,0.25898,1.73793,2.00055,1.45701,1.90949e-05,1.90949e-05,1.90949e-05
83,163.381,0.78367,0.81869,1.21122,0.84133,0.45095,0.53393,0.25898,1.73793,2.00055,1.45701,1.83646e-05,1.83646e-05,1.83646e-05
84,165.348,0.77968,0.57391,1.19738,0.84547,0.47809,0.53445,0.26772,1.79764,2.02788,1.48337,1.76107e-05,1.76107e-05,1.76107e-05
85,167.286,0.58715,0.7326,1.12086,0.84547,0.47809,0.53445,0.26772,1.79764,2.02788,1.48337,1.68333e-05,1.68333e-05,1.68333e-05
86,167.665,0.74296,0.65831,1.10014,0.84547,0.47809,0.53445,0.26772,1.79764,2.02788,1.48337,1.60323e-05,1.60323e-05,1.60323e-05
87,169.724,0.75781,0.78264,1.0564,0.84547,0.47809,0.53445,0.26772,1.79764,2.02788,1.48337,1.52077e-05,1.52077e-05,1.52077e-05
88,171.897,0.80064,0.89295,1.38658,0.84518,0.47735,0.52405,0.27855,1.80074,2.04586,1.4903,1.43596e-05,1.43596e-05,1.43596e-05
89,173.9,0.96163,0.99152,1.46165,0.84518,0.47735,0.52405,0.27855,1.80074,2.04586,1.4903,1.34879e-05,1.34879e-05,1.34879e-05
90,175.891,0.69733,0.61836,1.04429,0.84518,0.47735,0.52405,0.27855,1.80074,2.04586,1.4903,1.25927e-05,1.25927e-05,1.25927e-05
91,177.902,0.47155,0.53269,0.89115,0.84518,0.47735,0.52405,0.27855,1.80074,2.04586,1.4903,1.16739e-05,1.16739e-05,1.16739e-05
92,180.056,0.71217,0.7062,0.99594,0.83565,0.48629,0.53404,0.28757,1.79174,1.9805,1.46806,1.07315e-05,1.07315e-05,1.07315e-05
93,182.384,0.47265,0.45702,0.98082,0.83565,0.48629,0.53404,0.28757,1.79174,1.9805,1.46806,9.76562e-06,9.76562e-06,9.76562e-06
94,184.442,0.54322,0.44516,0.88503,0.83565,0.48629,0.53404,0.28757,1.79174,1.9805,1.46806,8.77613e-06,8.77613e-06,8.77613e-06
95,186.486,0.44952,0.45426,0.90215,0.83565,0.48629,0.53404,0.28757,1.79174,1.9805,1.46806,7.76308e-06,7.76308e-06,7.76308e-06
96,188.576,0.43623,0.51137,0.96009,0.84133,0.46997,0.55827,0.30696,1.77366,1.91168,1.4535,6.72648e-06,6.72648e-06,6.72648e-06
97,190.84,0.68851,0.61682,1.04088,0.84133,0.46997,0.55827,0.30696,1.77366,1.91168,1.4535,5.6663e-06,5.6663e-06,5.6663e-06
98,192.927,0.52359,0.48893,0.91079,0.84133,0.46997,0.55827,0.30696,1.77366,1.91168,1.4535,4.58257e-06,4.58257e-06,4.58257e-06
99,194.952,0.47697,0.47482,0.91079,0.84133,0.46997,0.55827,0.30696,1.77366,1.91168,1.4535,3.47528e-06,3.47528e-06,3.47528e-06
100,197.248,0.56138,0.50533,0.99909,0.82608,0.46667,0.60969,0.36853,1.70956,1.84576,1.41885,2.34442e-06,2.34442e-06,2.34442e-06
